"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1500000US360010001001","Block Group 1, Census Tract 1, Albany County, New York","873","226",
"1500000US360010001002","Block Group 2, Census Tract 1, Albany County, New York","1156","326",
"1500000US360010002011","Block Group 1, Census Tract 2.01, Albany County, New York","542","331",
"1500000US360010002012","Block Group 2, Census Tract 2.01, Albany County, New York","1674","711",
"1500000US360010002013","Block Group 3, Census Tract 2.01, Albany County, New York","1047","294",
"1500000US360010002021","Block Group 1, Census Tract 2.02, Albany County, New York","1888","487",
"1500000US360010002022","Block Group 2, Census Tract 2.02, Albany County, New York","265","166",
"1500000US360010003011","Block Group 1, Census Tract 3.01, Albany County, New York","1507","533",
"1500000US360010003012","Block Group 2, Census Tract 3.01, Albany County, New York","1509","593",
"1500000US360010003021","Block Group 1, Census Tract 3.02, Albany County, New York","1613","489",
"1500000US360010003022","Block Group 2, Census Tract 3.02, Albany County, New York","1318","404",
"1500000US360010004011","Block Group 1, Census Tract 4.01, Albany County, New York","2336","395",
"1500000US360010004031","Block Group 1, Census Tract 4.03, Albany County, New York","882","286",
"1500000US360010004032","Block Group 2, Census Tract 4.03, Albany County, New York","1461","387",
"1500000US360010004033","Block Group 3, Census Tract 4.03, Albany County, New York","906","479",
"1500000US360010004034","Block Group 4, Census Tract 4.03, Albany County, New York","765","244",
"1500000US360010004041","Block Group 1, Census Tract 4.04, Albany County, New York","5045","431",
"1500000US360010005011","Block Group 1, Census Tract 5.01, Albany County, New York","1398","466",
"1500000US360010005012","Block Group 2, Census Tract 5.01, Albany County, New York","473","201",
"1500000US360010005013","Block Group 3, Census Tract 5.01, Albany County, New York","730","402",
"1500000US360010005014","Block Group 4, Census Tract 5.01, Albany County, New York","809","425",
"1500000US360010005021","Block Group 1, Census Tract 5.02, Albany County, New York","2173","275",
"1500000US360010005022","Block Group 2, Census Tract 5.02, Albany County, New York","1753","375",
"1500000US360010006001","Block Group 1, Census Tract 6, Albany County, New York","551","321",
"1500000US360010006002","Block Group 2, Census Tract 6, Albany County, New York","1304","461",
"1500000US360010006003","Block Group 3, Census Tract 6, Albany County, New York","1918","431",
"1500000US360010007001","Block Group 1, Census Tract 7, Albany County, New York","1180","455",
"1500000US360010007002","Block Group 2, Census Tract 7, Albany County, New York","730","279",
"1500000US360010007003","Block Group 3, Census Tract 7, Albany County, New York","1136","397",
"1500000US360010007004","Block Group 4, Census Tract 7, Albany County, New York","565","292",
"1500000US360010008001","Block Group 1, Census Tract 8, Albany County, New York","218","160",
"1500000US360010008002","Block Group 2, Census Tract 8, Albany County, New York","1386","528",
"1500000US360010008003","Block Group 3, Census Tract 8, Albany County, New York","498","207",
"1500000US360010011001","Block Group 1, Census Tract 11, Albany County, New York","1751","302",
"1500000US360010014001","Block Group 1, Census Tract 14, Albany County, New York","998","317",
"1500000US360010014002","Block Group 2, Census Tract 14, Albany County, New York","1453","568",
"1500000US360010014003","Block Group 3, Census Tract 14, Albany County, New York","992","303",
"1500000US360010014004","Block Group 4, Census Tract 14, Albany County, New York","845","311",
"1500000US360010015001","Block Group 1, Census Tract 15, Albany County, New York","1521","474",
"1500000US360010015002","Block Group 2, Census Tract 15, Albany County, New York","1201","487",
"1500000US360010015003","Block Group 3, Census Tract 15, Albany County, New York","1281","433",
"1500000US360010015004","Block Group 4, Census Tract 15, Albany County, New York","618","199",
"1500000US360010016001","Block Group 1, Census Tract 16, Albany County, New York","1641","509",
"1500000US360010016002","Block Group 2, Census Tract 16, Albany County, New York","913","337",
"1500000US360010016003","Block Group 3, Census Tract 16, Albany County, New York","453","142",
"1500000US360010016004","Block Group 4, Census Tract 16, Albany County, New York","1149","311",
"1500000US360010017001","Block Group 1, Census Tract 17, Albany County, New York","1155","298",
"1500000US360010017002","Block Group 2, Census Tract 17, Albany County, New York","1050","247",
"1500000US360010017003","Block Group 3, Census Tract 17, Albany County, New York","1836","397",
"1500000US360010018021","Block Group 1, Census Tract 18.02, Albany County, New York","897","296",
"1500000US360010018022","Block Group 2, Census Tract 18.02, Albany County, New York","1280","300",
"1500000US360010018023","Block Group 3, Census Tract 18.02, Albany County, New York","1760","313",
"1500000US360010018031","Block Group 1, Census Tract 18.03, Albany County, New York","993","429",
"1500000US360010018032","Block Group 2, Census Tract 18.03, Albany County, New York","1815","376",
"1500000US360010018033","Block Group 3, Census Tract 18.03, Albany County, New York","736","226",
"1500000US360010018041","Block Group 1, Census Tract 18.04, Albany County, New York","1344","408",
"1500000US360010018042","Block Group 2, Census Tract 18.04, Albany County, New York","796","231",
"1500000US360010018043","Block Group 3, Census Tract 18.04, Albany County, New York","1397","322",
"1500000US360010019011","Block Group 1, Census Tract 19.01, Albany County, New York","1224","285",
"1500000US360010019012","Block Group 2, Census Tract 19.01, Albany County, New York","1272","227",
"1500000US360010019021","Block Group 1, Census Tract 19.02, Albany County, New York","812","227",
"1500000US360010019022","Block Group 2, Census Tract 19.02, Albany County, New York","678","277",
"1500000US360010019023","Block Group 3, Census Tract 19.02, Albany County, New York","788","287",
"1500000US360010020001","Block Group 1, Census Tract 20, Albany County, New York","2027","765",
"1500000US360010020002","Block Group 2, Census Tract 20, Albany County, New York","834","556",
"1500000US360010020003","Block Group 3, Census Tract 20, Albany County, New York","525","403",
"1500000US360010020004","Block Group 4, Census Tract 20, Albany County, New York","884","431",
"1500000US360010020005","Block Group 5, Census Tract 20, Albany County, New York","1797","862",
"1500000US360010021001","Block Group 1, Census Tract 21, Albany County, New York","1146","364",
"1500000US360010021002","Block Group 2, Census Tract 21, Albany County, New York","912","305",
"1500000US360010021003","Block Group 3, Census Tract 21, Albany County, New York","1116","359",
"1500000US360010022001","Block Group 1, Census Tract 22, Albany County, New York","1936","499",
"1500000US360010022002","Block Group 2, Census Tract 22, Albany County, New York","721","195",
"1500000US360010023001","Block Group 1, Census Tract 23, Albany County, New York","422","145",
"1500000US360010023002","Block Group 2, Census Tract 23, Albany County, New York","1290","403",
"1500000US360010025001","Block Group 1, Census Tract 25, Albany County, New York","813","286",
"1500000US360010025002","Block Group 2, Census Tract 25, Albany County, New York","1141","588",
"1500000US360010025003","Block Group 3, Census Tract 25, Albany County, New York","623","322",
"1500000US360010025004","Block Group 4, Census Tract 25, Albany County, New York","486","235",
"1500000US360010026001","Block Group 1, Census Tract 26, Albany County, New York","1311","437",
"1500000US360010026002","Block Group 2, Census Tract 26, Albany County, New York","871","368",
"1500000US360010026003","Block Group 3, Census Tract 26, Albany County, New York","1185","407",
"1500000US360010026004","Block Group 4, Census Tract 26, Albany County, New York","562","276",
"1500000US360010127001","Block Group 1, Census Tract 127, Albany County, New York","1394","464",
"1500000US360010127002","Block Group 2, Census Tract 127, Albany County, New York","789","236",
"1500000US360010127003","Block Group 3, Census Tract 127, Albany County, New York","1024","300",
"1500000US360010128001","Block Group 1, Census Tract 128, Albany County, New York","922","380",
"1500000US360010128002","Block Group 2, Census Tract 128, Albany County, New York","501","212",
"1500000US360010128003","Block Group 3, Census Tract 128, Albany County, New York","980","254",
"1500000US360010128004","Block Group 4, Census Tract 128, Albany County, New York","1124","452",
"1500000US360010129001","Block Group 1, Census Tract 129, Albany County, New York","1334","372",
"1500000US360010129002","Block Group 2, Census Tract 129, Albany County, New York","944","305",
"1500000US360010129003","Block Group 3, Census Tract 129, Albany County, New York","289","114",
"1500000US360010129004","Block Group 4, Census Tract 129, Albany County, New York","763","403",
"1500000US360010130001","Block Group 1, Census Tract 130, Albany County, New York","1009","310",
"1500000US360010130002","Block Group 2, Census Tract 130, Albany County, New York","1492","476",
"1500000US360010130003","Block Group 3, Census Tract 130, Albany County, New York","654","256",
"1500000US360010130004","Block Group 4, Census Tract 130, Albany County, New York","1444","355",
"1500000US360010130005","Block Group 5, Census Tract 130, Albany County, New York","2045","391",
"1500000US360010131001","Block Group 1, Census Tract 131, Albany County, New York","783","208",
"1500000US360010131002","Block Group 2, Census Tract 131, Albany County, New York","996","307",
"1500000US360010131003","Block Group 3, Census Tract 131, Albany County, New York","868","252",
"1500000US360010132001","Block Group 1, Census Tract 132, Albany County, New York","847","363",
"1500000US360010132002","Block Group 2, Census Tract 132, Albany County, New York","945","285",
"1500000US360010132003","Block Group 3, Census Tract 132, Albany County, New York","1601","389",
"1500000US360010133001","Block Group 1, Census Tract 133, Albany County, New York","2207","480",
"1500000US360010133002","Block Group 2, Census Tract 133, Albany County, New York","475","249",
"1500000US360010133003","Block Group 3, Census Tract 133, Albany County, New York","1093","399",
"1500000US360010134001","Block Group 1, Census Tract 134, Albany County, New York","664","190",
"1500000US360010134002","Block Group 2, Census Tract 134, Albany County, New York","1089","256",
"1500000US360010134003","Block Group 3, Census Tract 134, Albany County, New York","1055","375",
"1500000US360010135031","Block Group 1, Census Tract 135.03, Albany County, New York","1127","231",
"1500000US360010135032","Block Group 2, Census Tract 135.03, Albany County, New York","1674","415",
"1500000US360010135033","Block Group 3, Census Tract 135.03, Albany County, New York","2229","471",
"1500000US360010135051","Block Group 1, Census Tract 135.05, Albany County, New York","1254","427",
"1500000US360010135052","Block Group 2, Census Tract 135.05, Albany County, New York","1499","341",
"1500000US360010135071","Block Group 1, Census Tract 135.07, Albany County, New York","1770","276",
"1500000US360010135072","Block Group 2, Census Tract 135.07, Albany County, New York","503","151",
"1500000US360010135091","Block Group 1, Census Tract 135.09, Albany County, New York","1080","406",
"1500000US360010135092","Block Group 2, Census Tract 135.09, Albany County, New York","2519","717",
"1500000US360010135101","Block Group 1, Census Tract 135.10, Albany County, New York","1780","321",
"1500000US360010135102","Block Group 2, Census Tract 135.10, Albany County, New York","1891","351",
"1500000US360010135111","Block Group 1, Census Tract 135.11, Albany County, New York","2718","651",
"1500000US360010135112","Block Group 2, Census Tract 135.11, Albany County, New York","693","236",
"1500000US360010135121","Block Group 1, Census Tract 135.12, Albany County, New York","2085","438",
"1500000US360010135122","Block Group 2, Census Tract 135.12, Albany County, New York","1337","253",
"1500000US360010136021","Block Group 1, Census Tract 136.02, Albany County, New York","886","265",
"1500000US360010136022","Block Group 2, Census Tract 136.02, Albany County, New York","1406","339",
"1500000US360010136023","Block Group 3, Census Tract 136.02, Albany County, New York","1597","388",
"1500000US360010136031","Block Group 1, Census Tract 136.03, Albany County, New York","1886","489",
"1500000US360010136032","Block Group 2, Census Tract 136.03, Albany County, New York","1461","334",
"1500000US360010136041","Block Group 1, Census Tract 136.04, Albany County, New York","1155","455",
"1500000US360010136042","Block Group 2, Census Tract 136.04, Albany County, New York","3628","504",
"1500000US360010136043","Block Group 3, Census Tract 136.04, Albany County, New York","1689","350",
"1500000US360010137031","Block Group 1, Census Tract 137.03, Albany County, New York","2407","264",
"1500000US360010137061","Block Group 1, Census Tract 137.06, Albany County, New York","2041","240",
"1500000US360010137071","Block Group 1, Census Tract 137.07, Albany County, New York","1676","630",
"1500000US360010137072","Block Group 2, Census Tract 137.07, Albany County, New York","1256","427",
"1500000US360010137073","Block Group 3, Census Tract 137.07, Albany County, New York","1576","401",
"1500000US360010137074","Block Group 4, Census Tract 137.07, Albany County, New York","1370","373",
"1500000US360010137081","Block Group 1, Census Tract 137.08, Albany County, New York","1299","305",
"1500000US360010137082","Block Group 2, Census Tract 137.08, Albany County, New York","1847","385",
"1500000US360010137091","Block Group 1, Census Tract 137.09, Albany County, New York","2018","597",
"1500000US360010137092","Block Group 2, Census Tract 137.09, Albany County, New York","1122","397",
"1500000US360010138021","Block Group 1, Census Tract 138.02, Albany County, New York","1698","339",
"1500000US360010138022","Block Group 2, Census Tract 138.02, Albany County, New York","820","229",
"1500000US360010138023","Block Group 3, Census Tract 138.02, Albany County, New York","1743","393",
"1500000US360010138031","Block Group 1, Census Tract 138.03, Albany County, New York","480","181",
"1500000US360010138032","Block Group 2, Census Tract 138.03, Albany County, New York","1101","435",
"1500000US360010138033","Block Group 3, Census Tract 138.03, Albany County, New York","1588","448",
"1500000US360010138041","Block Group 1, Census Tract 138.04, Albany County, New York","2078","610",
"1500000US360010138042","Block Group 2, Census Tract 138.04, Albany County, New York","307","159",
"1500000US360010138043","Block Group 3, Census Tract 138.04, Albany County, New York","430","216",
"1500000US360010138044","Block Group 4, Census Tract 138.04, Albany County, New York","1220","446",
"1500000US360010139011","Block Group 1, Census Tract 139.01, Albany County, New York","949","202",
"1500000US360010139012","Block Group 2, Census Tract 139.01, Albany County, New York","1321","305",
"1500000US360010139021","Block Group 1, Census Tract 139.02, Albany County, New York","1214","347",
"1500000US360010139022","Block Group 2, Census Tract 139.02, Albany County, New York","1058","302",
