"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1500000US060014001001","Block Group 1, Census Tract 4001, Alameda County, California","1713","359",
"1500000US060014001002","Block Group 2, Census Tract 4001, Alameda County, California","1322","221",
"1500000US060014002001","Block Group 1, Census Tract 4002, Alameda County, California","940","155",
"1500000US060014002002","Block Group 2, Census Tract 4002, Alameda County, California","1043","182",
"1500000US060014003001","Block Group 1, Census Tract 4003, Alameda County, California","1206","414",
"1500000US060014003002","Block Group 2, Census Tract 4003, Alameda County, California","1318","341",
"1500000US060014003003","Block Group 3, Census Tract 4003, Alameda County, California","1076","348",
"1500000US060014003004","Block Group 4, Census Tract 4003, Alameda County, California","1458","366",
"1500000US060014004001","Block Group 1, Census Tract 4004, Alameda County, California","1544","300",
"1500000US060014004002","Block Group 2, Census Tract 4004, Alameda County, California","885","234",
"1500000US060014004003","Block Group 3, Census Tract 4004, Alameda County, California","1750","515",
"1500000US060014005001","Block Group 1, Census Tract 4005, Alameda County, California","2678","645",
"1500000US060014005002","Block Group 2, Census Tract 4005, Alameda County, California","748","240",
"1500000US060014005003","Block Group 3, Census Tract 4005, Alameda County, California","595","216",
"1500000US060014006001","Block Group 1, Census Tract 4006, Alameda County, California","1133","220",
"1500000US060014006002","Block Group 2, Census Tract 4006, Alameda County, California","679","166",
"1500000US060014007001","Block Group 1, Census Tract 4007, Alameda County, California","1058","236",
"1500000US060014007002","Block Group 2, Census Tract 4007, Alameda County, California","1655","413",
"1500000US060014007003","Block Group 3, Census Tract 4007, Alameda County, California","1096","477",
"1500000US060014007004","Block Group 4, Census Tract 4007, Alameda County, California","1356","345",
"1500000US060014008001","Block Group 1, Census Tract 4008, Alameda County, California","1508","416",
"1500000US060014008002","Block Group 2, Census Tract 4008, Alameda County, California","1088","483",
"1500000US060014008003","Block Group 3, Census Tract 4008, Alameda County, California","1405","338",
"1500000US060014009001","Block Group 1, Census Tract 4009, Alameda County, California","1333","300",
"1500000US060014009002","Block Group 2, Census Tract 4009, Alameda County, California","1520","382",
"1500000US060014010001","Block Group 1, Census Tract 4010, Alameda County, California","562","315",
"1500000US060014010002","Block Group 2, Census Tract 4010, Alameda County, California","1611","686",
"1500000US060014010003","Block Group 3, Census Tract 4010, Alameda County, California","1037","350",
"1500000US060014010004","Block Group 4, Census Tract 4010, Alameda County, California","653","318",
"1500000US060014010005","Block Group 5, Census Tract 4010, Alameda County, California","1253","522",
"1500000US060014010006","Block Group 6, Census Tract 4010, Alameda County, California","941","484",
"1500000US060014011001","Block Group 1, Census Tract 4011, Alameda County, California","529","334",
"1500000US060014011002","Block Group 2, Census Tract 4011, Alameda County, California","1372","351",
"1500000US060014011003","Block Group 3, Census Tract 4011, Alameda County, California","883","303",
"1500000US060014011004","Block Group 4, Census Tract 4011, Alameda County, California","1485","400",
"1500000US060014012001","Block Group 1, Census Tract 4012, Alameda County, California","1295","277",
"1500000US060014012002","Block Group 2, Census Tract 4012, Alameda County, California","581","166",
"1500000US060014012003","Block Group 3, Census Tract 4012, Alameda County, California","778","230",
"1500000US060014013001","Block Group 1, Census Tract 4013, Alameda County, California","1092","283",
"1500000US060014013002","Block Group 2, Census Tract 4013, Alameda County, California","1462","286",
"1500000US060014013003","Block Group 3, Census Tract 4013, Alameda County, California","1276","270",
"1500000US060014014001","Block Group 1, Census Tract 4014, Alameda County, California","1588","430",
"1500000US060014014002","Block Group 2, Census Tract 4014, Alameda County, California","2435","743",
"1500000US060014014003","Block Group 3, Census Tract 4014, Alameda County, California","872","318",
"1500000US060014015001","Block Group 1, Census Tract 4015, Alameda County, California","1090","275",
"1500000US060014015002","Block Group 2, Census Tract 4015, Alameda County, California","925","291",
"1500000US060014015003","Block Group 3, Census Tract 4015, Alameda County, California","801","367",
"1500000US060014016001","Block Group 1, Census Tract 4016, Alameda County, California","1340","350",
"1500000US060014016002","Block Group 2, Census Tract 4016, Alameda County, California","883","190",
"1500000US060014017001","Block Group 1, Census Tract 4017, Alameda County, California","1225","379",
