HOME_COUNTY_FIPS,STOP_DATE,STOP_COUNTY_FIPS,VISIT_CT,visit_ct_P8,visit_ct_P5,visit_ct_P3,visit_ct_P1,visit_ct_P05,visit_ct_P01,visit_ct_P005
06001,2019-03-01 00:00:00.000,04013,3,5,3,2,9,15,74,149
06001,2019-03-01 00:00:00.000,06001,561,664,803,974,1778,4327,19650,47811
06001,2019-03-01 00:00:00.000,06005,1,2,1,1,6,75,0,76
06001,2019-03-01 00:00:00.000,06013,22,23,42,46,62,144,351,879
06001,2019-03-01 00:00:00.000,06029,1,0,4,0,2,32,0,0
06001,2019-03-01 00:00:00.000,06037,1,0,0,0,0,1,68,7
06001,2019-03-01 00:00:00.000,06041,2,2,4,0,0,2,0,0
06001,2019-03-01 00:00:00.000,06047,1,1,0,6,0,0,7,8
06001,2019-03-01 00:00:00.000,06059,7,8,8,15,26,1,147,0
06001,2019-03-01 00:00:00.000,06061,2,0,6,10,0,8,31,0
06001,2019-03-01 00:00:00.000,06065,4,6,6,6,21,18,192,166
06001,2019-03-01 00:00:00.000,06071,1,1,2,0,14,29,10,0
06001,2019-03-01 00:00:00.000,06073,8,5,10,13,74,48,546,1694
06001,2019-03-01 00:00:00.000,06075,47,46,69,73,288,361,1628,3998
06001,2019-03-01 00:00:00.000,06077,11,11,11,31,33,176,367,679
06001,2019-03-01 00:00:00.000,06081,22,30,29,43,150,110,1085,1516
06001,2019-03-01 00:00:00.000,06085,39,42,75,68,130,251,1541,2160
06001,2019-03-01 00:00:00.000,06095,4,7,10,11,9,22,686,12
06001,2019-03-01 00:00:00.000,06109,1,0,0,16,29,0,90,0
06001,2019-03-01 00:00:00.000,06113,1,4,6,2,0,28,91,0
06001,2019-03-01 00:00:00.000,12011,1,5,0,0,0,30,0,0
06001,2019-03-01 00:00:00.000,12086,1,2,1,0,0,0,0,0
06001,2019-03-01 00:00:00.000,17031,2,2,2,6,24,48,0,0
06001,2019-03-01 00:00:00.000,32031,1,1,0,4,0,21,0,0
06001,2019-03-01 00:00:00.000,49035,1,3,0,0,12,23,135,456
06001,2019-03-01 00:00:00.000,49043,5,3,10,3,5,25,0,0
06001,2019-03-02 00:00:00.000,04013,1,2,0,7,6,0,0,0
06001,2019-03-02 00:00:00.000,06001,483,581,699,947,2094,3742,21521,37219
06001,2019-03-02 00:00:00.000,06013,20,23,33,43,38,175,1287,2736
06001,2019-03-02 00:00:00.000,06041,3,4,4,1,9,86,154,642
06001,2019-03-02 00:00:00.000,06043,2,4,2,13,22,72,756,502
06001,2019-03-02 00:00:00.000,06047,1,2,2,1,0,1,161,0
06001,2019-03-02 00:00:00.000,06059,8,8,8,14,9,0,62,647
06001,2019-03-02 00:00:00.000,06065,2,2,4,6,18,9,31,27
06001,2019-03-02 00:00:00.000,06067,12,11,12,29,34,74,193,1332
06001,2019-03-02 00:00:00.000,06073,6,3,11,0,10,0,87,778
06001,2019-03-02 00:00:00.000,06075,25,28,38,50,105,192,757,1859
06001,2019-03-02 00:00:00.000,06077,12,11,33,18,37,81,281,499
06001,2019-03-02 00:00:00.000,06081,8,6,9,15,59,135,290,755
06001,2019-03-02 00:00:00.000,06085,33,46,29,61,177,333,996,2610
06001,2019-03-02 00:00:00.000,06087,3,3,7,8,0,75,67,725
06001,2019-03-02 00:00:00.000,06099,1,0,0,4,0,18,0,0
06001,2019-03-02 00:00:00.000,12011,2,0,6,6,3,0,22,0
06001,2019-03-02 00:00:00.000,17031,2,2,4,9,3,0,0,127
06001,2019-03-02 00:00:00.000,37135,2,2,1,6,0,1,285,496
06001,2019-03-02 00:00:00.000,49043,5,10,9,14,6,21,365,103
