"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US53","Washington","7512465","*****",
"0500000US53001","Adams County, Washington","19702","*****",
"0500000US53003","Asotin County, Washington","22636","*****",
"0500000US53005","Benton County, Washington","200715","*****",
"0500000US53007","Chelan County, Washington","76653","*****",
"0500000US53009","Clallam County, Washington","76482","*****",
"0500000US53011","Clark County, Washington","481950","*****",
"0500000US53013","Columbia County, Washington","4024","*****",
"0500000US53015","Cowlitz County, Washington","108399","*****",
"0500000US53017","Douglas County, Washington","42520","*****",
"0500000US53019","Ferry County, Washington","7643","*****",
"0500000US53021","Franklin County, Washington","93681","*****",
"0500000US53023","Garfield County, Washington","2258","*****",
"0500000US53025","Grant County, Washington","96648","*****",
"0500000US53027","Grays Harbor County, Washington","73769","*****",
"0500000US53029","Island County, Washington","84187","*****",
"0500000US53031","Jefferson County, Washington","31825","*****",
"0500000US53033","King County, Washington","2225064","*****",
"0500000US53035","Kitsap County, Washington","268945","*****",
"0500000US53037","Kittitas County, Washington","47097","*****",
"0500000US53039","Klickitat County, Washington","22055","*****",
"0500000US53041","Lewis County, Washington","79430","*****",
"0500000US53043","Lincoln County, Washington","10732","*****",
"0500000US53045","Mason County, Washington","65326","*****",
"0500000US53047","Okanogan County, Washington","42080","*****",
"0500000US53049","Pacific County, Washington","22121","*****",
"0500000US53051","Pend Oreille County, Washington","13588","*****",
"0500000US53053","Pierce County, Washington","891862","*****",
"0500000US53055","San Juan County, Washington","16953","*****",
"0500000US53057","Skagit County, Washington","127442","*****",
"0500000US53059","Skamania County, Washington","11906","*****",
"0500000US53061","Snohomish County, Washington","811572","*****",
"0500000US53063","Spokane County, Washington","513402","53",
"0500000US53065","Stevens County, Washington","45233","53",
"0500000US53067","Thurston County, Washington","284698","*****",
"0500000US53069","Wahkiakum County, Washington","4318","*****",
"0500000US53071","Walla Walla County, Washington","60785","*****",
"0500000US53073","Whatcom County, Washington","224538","*****",
"0500000US53075","Whitman County, Washington","49577","*****",
"0500000US53077","Yakima County, Washington","250649","*****",
"1500000US530019501001","Block Group 1, Census Tract 9501, Adams County, Washington","731","176",
"1500000US530019501002","Block Group 2, Census Tract 9501, Adams County, Washington","1270","212",
"1500000US530019501003","Block Group 3, Census Tract 9501, Adams County, Washington","605","154",
"1500000US530019502001","Block Group 1, Census Tract 9502, Adams County, Washington","622","158",
"1500000US530019502002","Block Group 2, Census Tract 9502, Adams County, Washington","781","399",
"1500000US530019502003","Block Group 3, Census Tract 9502, Adams County, Washington","360","71",
"1500000US530019503011","Block Group 1, Census Tract 9503.01, Adams County, Washington","1581","328",
"1500000US530019503021","Block Group 1, Census Tract 9503.02, Adams County, Washington","2434","544",
"1500000US530019503031","Block Group 1, Census Tract 9503.03, Adams County, Washington","1884","412",
"1500000US530019503032","Block Group 2, Census Tract 9503.03, Adams County, Washington","630","304",
"1500000US530019504001","Block Group 1, Census Tract 9504, Adams County, Washington","1043","306",
"1500000US530019504002","Block Group 2, Census Tract 9504, Adams County, Washington","2101","468",
"1500000US530019505001","Block Group 1, Census Tract 9505, Adams County, Washington","2652","488",
"1500000US530019505002","Block Group 2, Census Tract 9505, Adams County, Washington","2191","455",
"1500000US530019505003","Block Group 3, Census Tract 9505, Adams County, Washington","817","398",
"1500000US530039601001","Block Group 1, Census Tract 9601, Asotin County, Washington","1087","260",
"1500000US530039601002","Block Group 2, Census Tract 9601, Asotin County, Washington","882","455",
"1500000US530039601003","Block Group 3, Census Tract 9601, Asotin County, Washington","2351","375",
"1500000US530039602001","Block Group 1, Census Tract 9602, Asotin County, Washington","1356","307",
"1500000US530039602002","Block Group 2, Census Tract 9602, Asotin County, Washington","795","221",
"1500000US530039602003","Block Group 3, Census Tract 9602, Asotin County, Washington","803","354",
"1500000US530039602004","Block Group 4, Census Tract 9602, Asotin County, Washington","1801","492",
"1500000US530039603001","Block Group 1, Census Tract 9603, Asotin County, Washington","860","266",
"1500000US530039603002","Block Group 2, Census Tract 9603, Asotin County, Washington","838","299",
"1500000US530039603003","Block Group 3, Census Tract 9603, Asotin County, Washington","834","296",
"1500000US530039603004","Block Group 4, Census Tract 9603, Asotin County, Washington","1101","304",
"1500000US530039604001","Block Group 1, Census Tract 9604, Asotin County, Washington","1534","331",
"1500000US530039604002","Block Group 2, Census Tract 9604, Asotin County, Washington","983","186",
"1500000US530039605001","Block Group 1, Census Tract 9605, Asotin County, Washington","605","238",
"1500000US530039605002","Block Group 2, Census Tract 9605, Asotin County, Washington","895","274",
"1500000US530039605003","Block Group 3, Census Tract 9605, Asotin County, Washington","1305","270",
"1500000US530039605004","Block Group 4, Census Tract 9605, Asotin County, Washington","712","219",
"1500000US530039606001","Block Group 1, Census Tract 9606, Asotin County, Washington","872","397",
"1500000US530039606002","Block Group 2, Census Tract 9606, Asotin County, Washington","1225","305",
"1500000US530039606003","Block Group 3, Census Tract 9606, Asotin County, Washington","1011","307",
"1500000US530039606004","Block Group 4, Census Tract 9606, Asotin County, Washington","786","235",
"1500000US530050101001","Block Group 1, Census Tract 101, Benton County, Washington","2257","367",
"1500000US530050101002","Block Group 2, Census Tract 101, Benton County, Washington","2637","341",
"1500000US530050102011","Block Group 1, Census Tract 102.01, Benton County, Washington","1924","422",
"1500000US530050102012","Block Group 2, Census Tract 102.01, Benton County, Washington","780","333",
"1500000US530050102013","Block Group 3, Census Tract 102.01, Benton County, Washington","740","322",
"1500000US530050102014","Block Group 4, Census Tract 102.01, Benton County, Washington","1996","448",
"1500000US530050102031","Block Group 1, Census Tract 102.03, Benton County, Washington","1367","647",
