"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1500000US040019426001","Block Group 1, Census Tract 9426, Apache County, Arizona","956","314",
"1500000US040019426002","Block Group 2, Census Tract 9426, Apache County, Arizona","755","175",
"1500000US040019427001","Block Group 1, Census Tract 9427, Apache County, Arizona","1098","230",
"1500000US040019427002","Block Group 2, Census Tract 9427, Apache County, Arizona","1757","281",
"1500000US040019427003","Block Group 3, Census Tract 9427, Apache County, Arizona","1162","255",
"1500000US040019427004","Block Group 4, Census Tract 9427, Apache County, Arizona","1452","310",
"1500000US040019440001","Block Group 1, Census Tract 9440, Apache County, Arizona","1745","488",
"1500000US040019440002","Block Group 2, Census Tract 9440, Apache County, Arizona","2333","457",
"1500000US040019440003","Block Group 3, Census Tract 9440, Apache County, Arizona","2499","471",
"1500000US040019441001","Block Group 1, Census Tract 9441, Apache County, Arizona","1353","391",
"1500000US040019441002","Block Group 2, Census Tract 9441, Apache County, Arizona","1402","297",
"1500000US040019441003","Block Group 3, Census Tract 9441, Apache County, Arizona","909","271",
"1500000US040019441004","Block Group 4, Census Tract 9441, Apache County, Arizona","1695","326",
"1500000US040019441005","Block Group 5, Census Tract 9441, Apache County, Arizona","824","233",
"1500000US040019442011","Block Group 1, Census Tract 9442.01, Apache County, Arizona","1926","498",
"1500000US040019442012","Block Group 2, Census Tract 9442.01, Apache County, Arizona","2614","702",
"1500000US040019442021","Block Group 1, Census Tract 9442.02, Apache County, Arizona","1703","448",
"1500000US040019442022","Block Group 2, Census Tract 9442.02, Apache County, Arizona","887","320",
"1500000US040019442023","Block Group 3, Census Tract 9442.02, Apache County, Arizona","917","384",
"1500000US040019443011","Block Group 1, Census Tract 9443.01, Apache County, Arizona","1198","320",
"1500000US040019443012","Block Group 2, Census Tract 9443.01, Apache County, Arizona","1384","237",
"1500000US040019443013","Block Group 3, Census Tract 9443.01, Apache County, Arizona","538","150",
"1500000US040019443021","Block Group 1, Census Tract 9443.02, Apache County, Arizona","1090","252",
"1500000US040019443022","Block Group 2, Census Tract 9443.02, Apache County, Arizona","1718","307",
"1500000US040019449011","Block Group 1, Census Tract 9449.01, Apache County, Arizona","451","108",
"1500000US040019449012","Block Group 2, Census Tract 9449.01, Apache County, Arizona","1590","293",
"1500000US040019449013","Block Group 3, Census Tract 9449.01, Apache County, Arizona","1196","236",
"1500000US040019449014","Block Group 4, Census Tract 9449.01, Apache County, Arizona","771","182",
"1500000US040019449021","Block Group 1, Census Tract 9449.02, Apache County, Arizona","1654","257",
"1500000US040019449022","Block Group 2, Census Tract 9449.02, Apache County, Arizona","1022","213",
"1500000US040019449023","Block Group 3, Census Tract 9449.02, Apache County, Arizona","848","138",
"1500000US040019449024","Block Group 4, Census Tract 9449.02, Apache County, Arizona","1422","237",
"1500000US040019450011","Block Group 1, Census Tract 9450.01, Apache County, Arizona","1390","312",
"1500000US040019450012","Block Group 2, Census Tract 9450.01, Apache County, Arizona","630","324",
"1500000US040019450013","Block Group 3, Census Tract 9450.01, Apache County, Arizona","1088","440",
"1500000US040019450014","Block Group 4, Census Tract 9450.01, Apache County, Arizona","977","275",
"1500000US040019450021","Block Group 1, Census Tract 9450.02, Apache County, Arizona","1371","191",
"1500000US040019450022","Block Group 2, Census Tract 9450.02, Apache County, Arizona","1368","397",
"1500000US040019450023","Block Group 3, Census Tract 9450.02, Apache County, Arizona","1314","271",
"1500000US040019451001","Block Group 1, Census Tract 9451, Apache County, Arizona","1594","287",
"1500000US040019451002","Block Group 2, Census Tract 9451, Apache County, Arizona","1100","279",
"1500000US040019702011","Block Group 1, Census Tract 9702.01, Apache County, Arizona","1489","479",
"1500000US040019702012","Block Group 2, Census Tract 9702.01, Apache County, Arizona","1251","531",
"1500000US040019702021","Block Group 1, Census Tract 9702.02, Apache County, Arizona","648","282",
"1500000US040019702022","Block Group 2, Census Tract 9702.02, Apache County, Arizona","856","278",
"1500000US040019702023","Block Group 3, Census Tract 9702.02, Apache County, Arizona","604","185",
"1500000US040019703001","Block Group 1, Census Tract 9703, Apache County, Arizona","1613","382",
"1500000US040019703002","Block Group 2, Census Tract 9703, Apache County, Arizona","743","375",
"1500000US040019703003","Block Group 3, Census Tract 9703, Apache County, Arizona","900","467",
"1500000US040019705011","Block Group 1, Census Tract 9705.01, Apache County, Arizona","1052","364",
"1500000US040019705012","Block Group 2, Census Tract 9705.01, Apache County, Arizona","1334","455",
"1500000US040019705013","Block Group 3, Census Tract 9705.01, Apache County, Arizona","1884","421",
"1500000US040019705014","Block Group 4, Census Tract 9705.01, Apache County, Arizona","1312","406",
"1500000US040019705021","Block Group 1, Census Tract 9705.02, Apache County, Arizona","1696","518",
"1500000US040019705022","Block Group 2, Census Tract 9705.02, Apache County, Arizona","931","313",
"1500000US040019705023","Block Group 3, Census Tract 9705.02, Apache County, Arizona","1700","366",
"1500000US040030001011","Block Group 1, Census Tract 1.01, Cochise County, Arizona","1123","291",
"1500000US040030001021","Block Group 1, Census Tract 1.02, Cochise County, Arizona","728","144",
"1500000US040030002011","Block Group 1, Census Tract 2.01, Cochise County, Arizona","1537","320",
"1500000US040030002012","Block Group 2, Census Tract 2.01, Cochise County, Arizona","1666","469",
"1500000US040030002021","Block Group 1, Census Tract 2.02, Cochise County, Arizona","710","247",
"1500000US040030002022","Block Group 2, Census Tract 2.02, Cochise County, Arizona","478","191",
"1500000US040030002023","Block Group 3, Census Tract 2.02, Cochise County, Arizona","1664","462",
"1500000US040030002024","Block Group 4, Census Tract 2.02, Cochise County, Arizona","835","393",
"1500000US040030002031","Block Group 1, Census Tract 2.03, Cochise County, Arizona","852","264",
"1500000US040030002032","Block Group 2, Census Tract 2.03, Cochise County, Arizona","830","244",
"1500000US040030002033","Block Group 3, Census Tract 2.03, Cochise County, Arizona","1030","238",
"1500000US040030003011","Block Group 1, Census Tract 3.01, Cochise County, Arizona","1139","373",
"1500000US040030003012","Block Group 2, Census Tract 3.01, Cochise County, Arizona","714","215",
"1500000US040030003013","Block Group 3, Census Tract 3.01, Cochise County, Arizona","696","278",
"1500000US040030003014","Block Group 4, Census Tract 3.01, Cochise County, Arizona","1048","249",
"1500000US040030003031","Block Group 1, Census Tract 3.03, Cochise County, Arizona","722","300",
"1500000US040030003032","Block Group 2, Census Tract 3.03, Cochise County, Arizona","1309","310",
"1500000US040030003033","Block Group 3, Census Tract 3.03, Cochise County, Arizona","1393","364",
"1500000US040030003041","Block Group 1, Census Tract 3.04, Cochise County, Arizona","1097","257",
"1500000US040030003042","Block Group 2, Census Tract 3.04, Cochise County, Arizona","834","469",
"1500000US040030003051","Block Group 1, Census Tract 3.05, Cochise County, Arizona","765","429",
"1500000US040030003052","Block Group 2, Census Tract 3.05, Cochise County, Arizona","760","225",
"1500000US040030003053","Block Group 3, Census Tract 3.05, Cochise County, Arizona","828","251",
"1500000US040030004001","Block Group 1, Census Tract 4, Cochise County, Arizona","866","254",
"1500000US040030004002","Block Group 2, Census Tract 4, Cochise County, Arizona","989","229",
"1500000US040030005011","Block Group 1, Census Tract 5.01, Cochise County, Arizona","1298","280",
"1500000US040030005012","Block Group 2, Census Tract 5.01, Cochise County, Arizona","636","156",
"1500000US040030005021","Block Group 1, Census Tract 5.02, Cochise County, Arizona","997","160",
"1500000US040030005031","Block Group 1, Census Tract 5.03, Cochise County, Arizona","3508","457",
"1500000US040030006001","Block Group 1, Census Tract 6, Cochise County, Arizona","2561","665",
"1500000US040030006002","Block Group 2, Census Tract 6, Cochise County, Arizona","992","373",
"1500000US040030007001","Block Group 1, Census Tract 7, Cochise County, Arizona","1317","373",
"1500000US040030007002","Block Group 2, Census Tract 7, Cochise County, Arizona","1056","444",
"1500000US040030007003","Block Group 3, Census Tract 7, Cochise County, Arizona","804","217",
"1500000US040030007004","Block Group 4, Census Tract 7, Cochise County, Arizona","1866","340",
"1500000US040030008001","Block Group 1, Census Tract 8, Cochise County, Arizona","1345","499",
"1500000US040030008002","Block Group 2, Census Tract 8, Cochise County, Arizona","811","276",
"1500000US040030008003","Block Group 3, Census Tract 8, Cochise County, Arizona","1231","356",
"1500000US040030008004","Block Group 4, Census Tract 8, Cochise County, Arizona","833","263",
"1500000US040030009011","Block Group 1, Census Tract 9.01, Cochise County, Arizona","477","232",
"1500000US040030009012","Block Group 2, Census Tract 9.01, Cochise County, Arizona","871","247",
"1500000US040030009013","Block Group 3, Census Tract 9.01, Cochise County, Arizona","446","202",
"1500000US040030009014","Block Group 4, Census Tract 9.01, Cochise County, Arizona","774","278",
"1500000US040030009021","Block Group 1, Census Tract 9.02, Cochise County, Arizona","752","240",
"1500000US040030009022","Block Group 2, Census Tract 9.02, Cochise County, Arizona","923","337",
"1500000US040030009023","Block Group 3, Census Tract 9.02, Cochise County, Arizona","806","238",
