"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1500000US170010001001","Block Group 1, Census Tract 1, Adams County, Illinois","1142","299",
"1500000US170010001002","Block Group 2, Census Tract 1, Adams County, Illinois","717","321",
"1500000US170010001003","Block Group 3, Census Tract 1, Adams County, Illinois","648","203",
"1500000US170010001004","Block Group 4, Census Tract 1, Adams County, Illinois","1002","332",
"1500000US170010001005","Block Group 5, Census Tract 1, Adams County, Illinois","1098","291",
"1500000US170010002011","Block Group 1, Census Tract 2.01, Adams County, Illinois","1037","189",
"1500000US170010002012","Block Group 2, Census Tract 2.01, Adams County, Illinois","966","284",
"1500000US170010002021","Block Group 1, Census Tract 2.02, Adams County, Illinois","536","181",
"1500000US170010002022","Block Group 2, Census Tract 2.02, Adams County, Illinois","1266","291",
"1500000US170010002023","Block Group 3, Census Tract 2.02, Adams County, Illinois","589","194",
"1500000US170010004001","Block Group 1, Census Tract 4, Adams County, Illinois","893","318",
"1500000US170010004002","Block Group 2, Census Tract 4, Adams County, Illinois","994","246",
"1500000US170010004003","Block Group 3, Census Tract 4, Adams County, Illinois","1272","430",
"1500000US170010004004","Block Group 4, Census Tract 4, Adams County, Illinois","155","96",
"1500000US170010005001","Block Group 1, Census Tract 5, Adams County, Illinois","1252","237",
"1500000US170010005002","Block Group 2, Census Tract 5, Adams County, Illinois","902","279",
"1500000US170010006001","Block Group 1, Census Tract 6, Adams County, Illinois","892","209",
"1500000US170010006002","Block Group 2, Census Tract 6, Adams County, Illinois","937","280",
"1500000US170010006003","Block Group 3, Census Tract 6, Adams County, Illinois","934","228",
"1500000US170010006004","Block Group 4, Census Tract 6, Adams County, Illinois","816","268",
"1500000US170010006005","Block Group 5, Census Tract 6, Adams County, Illinois","705","179",
"1500000US170010007001","Block Group 1, Census Tract 7, Adams County, Illinois","325","95",
"1500000US170010007002","Block Group 2, Census Tract 7, Adams County, Illinois","789","171",
"1500000US170010008001","Block Group 1, Census Tract 8, Adams County, Illinois","853","329",
"1500000US170010008002","Block Group 2, Census Tract 8, Adams County, Illinois","399","179",
"1500000US170010008003","Block Group 3, Census Tract 8, Adams County, Illinois","1045","318",
"1500000US170010009001","Block Group 1, Census Tract 9, Adams County, Illinois","1349","327",
"1500000US170010009002","Block Group 2, Census Tract 9, Adams County, Illinois","1389","249",
"1500000US170010010011","Block Group 1, Census Tract 10.01, Adams County, Illinois","1046","209",
"1500000US170010010012","Block Group 2, Census Tract 10.01, Adams County, Illinois","1148","331",
"1500000US170010010013","Block Group 3, Census Tract 10.01, Adams County, Illinois","1195","407",
"1500000US170010010021","Block Group 1, Census Tract 10.02, Adams County, Illinois","989","199",
"1500000US170010010022","Block Group 2, Census Tract 10.02, Adams County, Illinois","2181","541",
"1500000US170010011001","Block Group 1, Census Tract 11, Adams County, Illinois","1440","328",
"1500000US170010011002","Block Group 2, Census Tract 11, Adams County, Illinois","2728","361",
"1500000US170010011003","Block Group 3, Census Tract 11, Adams County, Illinois","2016","456",
"1500000US170010011004","Block Group 4, Census Tract 11, Adams County, Illinois","1816","414",
