GEO_ID,STATE,COUNTY,NAME,LSAD,CENSUSAREA,State_1,Alpha code,Region,Division,CDC region,FIPS code,2013 code,U/R,pop2020,pop2021
48301,48,301,Loving,County,668.925,Texas,TX,South,West South Central,6.0,48301,6,R,67.0,57.0
48269,48,269,King,County,910.872,Texas,TX,South,West South Central,6.0,48269,6,R,270.0,258.0
48261,48,261,Kenedy,County,1458.329,Texas,TX,South,West South Central,6.0,48261,5,R,346.0,340.0
31117,31,117,McPherson,County,858.976,Nebraska,NE,Midwest,West North Central,7.0,31117,5,R,396.0,379.0
31009,31,009,Blaine,County,710.874,Nebraska,NE,Midwest,West North Central,7.0,31009,6,R,431.0,461.0
31005,31,005,Arthur,County,715.355,Nebraska,NE,Midwest,West North Central,7.0,31005,6,R,431.0,439.0
30069,30,069,Petroleum,County,1654.871,Montana,MT,West,Mountain,8.0,30069,6,R,498.0,519.0
48311,48,311,McMullen,County,1139.426,Texas,TX,South,West South Central,6.0,48311,6,R,599.0,608.0
31115,31,115,Loup,County,568.29,Nebraska,NE,Midwest,West North Central,7.0,31115,6,R,606.0,604.0
31075,31,075,Grant,County,776.224,Nebraska,NE,Midwest,West North Central,7.0,31075,6,R,611.0,579.0
48033,48,033,Borden,County,897.443,Texas,TX,South,West South Central,6.0,48033,6,R,641.0,617.0
35021,35,021,Harding,County,2125.442,New Mexico,NM,West,Mountain,6.0,35021,6,R,660.0,639.0
31171,31,171,Thomas,County,713.236,Nebraska,NE,Midwest,West North Central,7.0,31171,6,R,671.0,673.0
31007,31,007,Banner,County,746.114,Nebraska,NE,Midwest,West North Central,7.0,31007,5,R,683.0,692.0
38087,38,087,Slope,County,1214.922,North Dakota,ND,Midwest,West North Central,8.0,38087,6,R,701.0,690.0
31091,31,091,Hooker,County,721.121,Nebraska,NE,Midwest,West North Central,7.0,31091,6,R,707.0,734.0
8111,08,111,San Juan,County,387.488,Colorado,CO,West,Mountain,8.0,08111,6,R,710.0,733.0
31113,31,113,Logan,County,570.66,Nebraska,NE,Midwest,West North Central,7.0,31113,5,R,714.0,687.0
32009,32,009,Esmeralda,County,3581.876,Nevada,NV,West,Mountain,9.0,32009,6,R,730.0,743.0
48443,48,443,Terrell,County,2358.026,Texas,TX,South,West South Central,6.0,48443,6,R,744.0,724.0
48263,48,263,Kent,County,902.507,Texas,TX,South,West South Central,6.0,48263,6,R,759.0,749.0
30103,30,103,Treasure,County,977.398,Montana,MT,West,Mountain,8.0,30103,6,R,761.0,768.0
31103,31,103,Keya Paha,County,773.072,Nebraska,NE,Midwest,West North Central,7.0,31103,6,R,763.0,787.0
31183,31,183,Wheeler,County,575.182,Nebraska,NE,Midwest,West North Central,7.0,31183,6,R,773.0,795.0
16033,16,033,Clark,County,1764.185,Idaho,ID,West,Mountain,10.0,16033,6,R,792.0,792.0
8053,08,053,Hinsdale,County,1117.251,Colorado,CO,West,Mountain,8.0,08053,6,R,794.0,781.0
30037,30,037,Golden Valley,County,1175.342,Montana,MT,West,Mountain,8.0,30037,4,R,820.0,831.0
48393,48,393,Roberts,County,924.058,Texas,TX,South,West South Central,6.0,48393,6,R,823.0,797.0
31085,31,085,Hayes,County,713.062,Nebraska,NE,Midwest,West North Central,7.0,31085,6,R,855.0,843.0
8079,08,079,Mineral,County,875.666,Colorado,CO,West,Mountain,8.0,08079,6,R,867.0,924.0
46075,46,075,Jones,County,969.678,South Dakota,SD,Midwest,West North Central,8.0,46075,6,R,925.0,879.0
30109,30,109,Wibaux,County,889.265,Montana,MT,West,Mountain,8.0,30109,6,R,928.0,934.0
38007,38,007,Billings,County,1148.853,North Dakota,ND,Midwest,West North Central,8.0,38007,6,R,931.0,955.0
49009,49,009,Daggett,County,696.979,Utah,UT,West,Mountain,8.0,49009,6,R,952.0,976.0
48345,48,345,Motley,County,989.562,Texas,TX,South,West South Central,6.0,48345,6,R,1052.0,1067.0
30079,30,079,Prairie,County,1736.737,Montana,MT,West,Mountain,8.0,30079,6,R,1076.0,1091.0
48155,48,155,Foard,County,704.397,Texas,TX,South,West South Central,6.0,48155,6,R,1086.0,1080.0
16025,16,025,Camas,County,1074.493,Idaho,ID,West,Mountain,10.0,16025,5,R,1089.0,1139.0
48173,48,173,Glasscock,County,900.218,Texas,TX,South,West South Central,6.0,48173,5,R,1114.0,1149.0
31165,31,165,Sioux,County,2066.74,Nebraska,NE,Midwest,West North Central,7.0,31165,5,R,1144.0,1143.0
30033,30,033,Garfield,County,4675.356,Montana,MT,West,Mountain,8.0,30033,6,R,1172.0,1209.0
6003,06,003,Alpine,County,738.332,California,CA,West,Pacific,9.0,06003,6,R,1198.0,1235.0
48433,48,433,Stonewall,County,916.313,Texas,TX,South,West South Central,6.0,48433,6,R,1245.0,1217.0
46069,46,069,Hyde,County,860.524,South Dakota,SD,Midwest,West North Central,8.0,46069,6,R,1258.0,1236.0
38083,38,083,Sheridan,County,972.379,North Dakota,ND,Midwest,West North Central,8.0,38083,6,R,1258.0,1268.0
31149,31,149,Rock,County,1008.318,Nebraska,NE,Midwest,West North Central,7.0,31149,6,R,1267.0,1264.0
20071,20,071,Greeley,County,778.45,Kansas,KS,Midwest,West North Central,7.0,20071,6,R,1277.0,1304.0
46063,46,063,Harding,County,2671.375,South Dakota,SD,Midwest,West North Central,8.0,46063,6,R,1317.0,1327.0
28055,28,055,Issaquena,County,413.045,Mississippi,MS,South,East South Central,4.0,28055,6,R,1326.0,1280.0
46021,46,021,Campbell,County,733.677,South Dakota,SD,Midwest,West North Central,8.0,46021,6,R,1374.0,1380.0
48101,48,101,Cottle,County,900.563,Texas,TX,South,West South Central,6.0,48101,6,R,1374.0,1381.0
8057,08,057,Jackson,County,1613.723,Colorado,CO,West,Mountain,8.0,08057,6,R,1376.0,1363.0
48431,48,431,Sterling,County,923.451,Texas,TX,South,West South Central,6.0,48431,6,R,1383.0,1381.0
30011,30,011,Carter,County,3340.752,Montana,MT,West,Mountain,8.0,30011,6,R,1413.0,1428.0
48137,48,137,Edwards,County,2117.858,Texas,TX,South,West South Central,6.0,48137,6,R,1414.0,1438.0
48045,48,045,Briscoe,County,900.001,Texas,TX,South,West South Central,6.0,48045,6,R,1421.0,1403.0
49031,49,031,Piute,County,757.791,Utah,UT,West,Mountain,8.0,49031,6,R,1437.0,1487.0
48447,48,447,Throckmorton,County,912.552,Texas,TX,South,West South Central,6.0,48447,6,R,1443.0,1495.0
46119,46,119,Sully,County,1006.817,South Dakota,SD,Midwest,West North Central,8.0,46119,5,R,1446.0,1476.0
8061,08,061,Kiowa,County,1767.767,Colorado,CO,West,Mountain,8.0,08061,6,R,1452.0,1452.0
41069,41,069,Wheeler,County,1714.749,Oregon,OR,West,Pacific,10.0,41069,6,R,1457.0,1451.0
20199,20,199,Wallace,County,913.652,Kansas,KS,Midwest,West North Central,7.0,20199,6,R,1514.0,1508.0
48235,48,235,Irion,County,1051.563,Texas,TX,South,West South Central,6.0,48235,4,R,1522.0,1552.0
13265,13,265,Taliaferro,County,194.608,Georgia,GA,South,South Atlantic,4.0,13265,6,R,1557.0,1558.0
20101,20,101,Lane,County,717.455,Kansas,KS,Midwest,West North Central,7.0,20101,6,R,1568.0,1565.0
31057,31,057,Dundy,County,919.678,Nebraska,NE,Midwest,West North Central,7.0,31057,6,R,1647.0,1635.0
46073,46,073,Jerauld,County,526.233,South Dakota,SD,Midwest,West North Central,8.0,46073,6,R,1657.0,1636.0
30019,30,019,Daniels,County,1426.105,Montana,MT,West,Mountain,8.0,30019,6,R,1658.0,1686.0
35011,35,011,De Baca,County,2322.623,New Mexico,NM,West,Mountain,6.0,35011,6,R,1678.0,1680.0
20033,20,033,Comanche,County,788.298,Kansas,KS,Midwest,West North Central,7.0,20033,6,R,1681.0,1670.0
30075,30,075,Powder River,County,3297.298,Montana,MT,West,Mountain,8.0,30075,6,R,1693.0,1702.0
20083,20,083,Hodgeman,County,859.992,Kansas,KS,Midwest,West North Central,7.0,20083,6,R,1718.0,1710.0
38033,38,033,Golden Valley,County,1000.786,North Dakota,ND,Midwest,West North Central,8.0,38033,6,R,1730.0,1770.0
30055,30,055,McCone,County,2643.172,Montana,MT,West,Mountain,8.0,30055,6,R,1733.0,1718.0
8017,08,017,Cheyenne,County,1778.276,Colorado,CO,West,Mountain,8.0,08017,6,R,1736.0,1707.0
48125,48,125,Dickens,County,901.724,Texas,TX,South,West South Central,6.0,48125,6,R,1760.0,1740.0
48359,48,359,Oldham,County,1500.533,Texas,TX,South,West South Central,6.0,48359,3,R,1761.0,1717.0
38091,38,091,Steele,County,712.215,North Dakota,ND,Midwest,West North Central,8.0,38091,6,R,1797.0,1810.0
31015,31,015,Boyd,County,539.94,Nebraska,NE,Midwest,West North Central,7.0,31015,6,R,1806.0,1789.0
31071,31,071,Garfield,County,569.79,Nebraska,NE,Midwest,West North Central,7.0,31071,6,R,1806.0,1839.0
31049,31,049,Deuel,County,439.851,Nebraska,NE,Midwest,West North Central,7.0,31049,6,R,1829.0,1865.0
32011,32,011,Eureka,County,4175.684,Nevada,NV,West,Mountain,9.0,32011,5,R,1847.0,1903.0
48011,48,011,Armstrong,County,909.109,Texas,TX,South,West South Central,6.0,48011,3,R,1847.0,1839.0
38065,38,065,Oliver,County,722.511,North Dakota,ND,Midwest,West North Central,8.0,38065,4,R,1866.0,1873.0
46055,46,055,Haakon,County,1810.534,South Dakota,SD,Midwest,West North Central,8.0,46055,6,R,1869.0,1835.0
41055,41,055,Sherman,County,823.694,Oregon,OR,West,Pacific,10.0,41055,6,R,1872.0,1907.0
31069,31,069,Garden,County,1704.283,Nebraska,NE,Midwest,West North Central,7.0,31069,6,R,1883.0,1847.0
38047,38,047,Logan,County,992.818,North Dakota,ND,Midwest,West North Central,8.0,38047,6,R,1885.0,1883.0
31073,31,073,Gosper,County,458.155,Nebraska,NE,Midwest,West North Central,7.0,31073,5,R,1891.0,1824.0
46095,46,095,Mellette,County,1307.306,South Dakota,SD,Midwest,West North Central,8.0,46095,6,R,1916.0,1908.0
30059,30,059,Meagher,County,2391.913,Montana,MT,West,Mountain,8.0,30059,6,R,1925.0,1964.0
46017,46,017,Buffalo,County,471.384,South Dakota,SD,Midwest,West North Central,8.0,46017,6,R,1944.0,1923.0
30051,30,051,Liberty,County,1430.045,Montana,MT,West,Mountain,8.0,30051,6,R,1960.0,1946.0
29227,29,227,Worth,County,266.613,Missouri,MO,Midwest,West North Central,7.0,29227,6,R,1962.0,1983.0
48327,48,327,Menard,County,902.03,Texas,TX,South,West South Central,6.0,48327,6,R,1971.0,1982.0
20025,20,025,Clark,County,974.632,Kansas,KS,Midwest,West North Central,7.0,20025,6,R,1973.0,1977.0
48243,48,243,Jeff Davis,County,2264.555,Texas,TX,South,West South Central,6.0,48243,6,R,1978.0,1949.0
41021,41,021,Gilliam,County,1204.809,Oregon,OR,West,Pacific,10.0,41021,6,R,2016.0,2005.0
30045,30,045,Judith Basin,County,1869.821,Montana,MT,West,Mountain,8.0,30045,6,R,2017.0,2044.0
26083,26,083,Keweenaw,County,540.112,Michigan,MI,Midwest,East North Central,5.0,26083,5,R,2055.0,2107.0
20187,20,187,Stanton,County,680.345,Kansas,KS,Midwest,West North Central,7.0,20187,6,R,2072.0,2044.0
30107,30,107,Wheatland,County,1423.195,Montana,MT,West,Mountain,8.0,30107,6,R,2093.0,2059.0
46049,46,049,Faulk,County,981.75,South Dakota,SD,Midwest,West North Central,8.0,46049,6,R,2128.0,2137.0
38095,38,095,Towner,County,1024.561,North Dakota,ND,Midwest,West North Central,8.0,38095,6,R,2138.0,2140.0
20203,20,203,Wichita,County,718.568,Kansas,KS,Midwest,West North Central,7.0,20203,6,R,2144.0,2082.0
31077,31,077,Greeley,County,569.811,Nebraska,NE,Midwest,West North Central,7.0,31077,6,R,2180.0,2169.0
21201,21,201,Robertson,County,99.911,Kentucky,KY,South,East South Central,4.0,21201,6,R,2184.0,2257.0
38001,38,001,Adams,County,987.619,North Dakota,ND,Midwest,West North Central,8.0,38001,6,R,2188.0,2167.0
38013,38,013,Burke,County,1103.568,North Dakota,ND,Midwest,West North Central,8.0,38013,6,R,2189.0,2158.0
48109,48,109,Culberson,County,3812.798,Texas,TX,South,West South Central,6.0,48109,6,R,2193.0,2193.0
38023,38,023,Divide,County,1260.786,North Dakota,ND,Midwest,West North Central,8.0,38023,6,R,2198.0,2188.0
13239,13,239,Quitman,County,151.237,Georgia,GA,South,South Atlantic,4.0,13239,6,R,2224.0,2243.0
51091,51,091,Highland,County,415.156,Virginia,VA,South,South Atlantic,3.0,51091,6,R,2236.0,2226.0
38075,38,075,Renville,County,877.053,North Dakota,ND,Midwest,West North Central,8.0,38075,5,R,2272.0,2266.0
38037,38,037,Grant,County,1659.139,North Dakota,ND,Midwest,West North Central,8.0,38037,6,R,2281.0,2323.0
40025,40,025,Cimarron,County,1834.738,Oklahoma,OK,South,West South Central,6.0,40025,6,R,2290.0,2248.0
53023,53,023,Garfield,County,710.686,Washington,WA,West,Pacific,10.0,53023,6,R,2292.0,2346.0
46097,46,097,Miner,County,570.311,South Dakota,SD,Midwest,West North Central,8.0,46097,6,R,2294.0,2314.0
38039,38,039,Griggs,County,708.815,North Dakota,ND,Midwest,West North Central,8.0,38039,6,R,2296.0,2281.0
46111,46,111,Sanborn,County,569.321,South Dakota,SD,Midwest,West North Central,8.0,46111,6,R,2318.0,2378.0
38027,38,027,Eddy,County,630.171,North Dakota,ND,Midwest,West North Central,8.0,38027,6,R,2333.0,2337.0
8033,08,033,Dolores,County,1067.051,Colorado,CO,West,Mountain,8.0,08033,6,R,2338.0,2397.0
13307,13,307,Webster,County,209.118,Georgia,GA,South,South Atlantic,4.0,13307,6,R,2350.0,2367.0
38043,38,043,Kidder,County,1351.189,North Dakota,ND,Midwest,West North Central,8.0,38043,6,R,2384.0,2369.0
